State,City,Service,Channel,FCC,Station,Broadcast Branding,Link,FacID,licensee,lms_application_id
California,San Francisco,Radio,91.7,http://transition.fcc.gov/fcc-bin/fmq?facid=58830,/station-view/KALW-FM,KALW Local Public Radio,https://cpb.org/sites/default/files/station_logos/kalw_fm.gif,58830,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,82b4dda599ad459da356c1b6063ebeb7
California,San Francisco,Radio,88.5,http://transition.fcc.gov/fcc-bin/fmq?facid=35501,/station-view/KQED-FM,KQED Public Radio,https://cpb.org/sites/default/files/station_logos/kqed_fm.gif,35501,KQED INC.,848f36cc115a43a48fe2c1b6063ebeb7
California,Sacramento,Radio,89.3,http://transition.fcc.gov/fcc-bin/fmq?facid=20791,/station-view/KQED-FM,KQED Public Radio,https://cpb.org/sites/default/files/station_logos/kqei_fm.gif,20791,KQED INC.,99a966b3ae5544ee9b8dc1b6063ebeb7
California,San Luis Obispo,Radio,90.1,http://transition.fcc.gov/fcc-bin/fmq?facid=33705,/station-view/KCBX-FM,KCBX Public Radio,https://cpb.org/sites/default/files/station_logos/kcbx_fm.gif,33705,"KCBX, INC.",5398bb25b96b43d6aa27c1b6063ebeb7
California,San Ardo,Radio,91.7,http://transition.fcc.gov/fcc-bin/fmq?facid=51720,/station-view/KCBX-FM,KCBX Public Radio,https://cpb.org/sites/default/files/station_logos/knbx_fm.gif,51720,"KCBX, INC.",0ba8bc5a97a84ed9ab1ec1b6063ebeb7
California,San Mateo,Radio,91.1,http://transition.fcc.gov/fcc-bin/fmq?facid=58913,/station-view/KCSM-FM,KCSM Jazz 91,https://cpb.org/sites/default/files/station_logos/kcsm_fm.gif,58913,SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT,7b244119206a400aac81c1b6063ebeb7
California,Indio,Radio,89.3,http://transition.fcc.gov/fcc-bin/fmq?facid=59087,/station-view/KCRW-FM,KCRW,https://cpb.org/sites/default/files/station_logos/kcri_fm.gif,59087,SANTA MONICA COMMUNITY COLLEGE DISTRICT,5aae0a2859ef47b586eec1b6063ebeb7
California,Oxnard,Radio,89.1,http://transition.fcc.gov/fcc-bin/fmq?facid=59085,/station-view/KCRW-FM,KCRW,https://cpb.org/sites/default/files/station_logos/kcru_fm.gif,59085,SANTA MONICA COMMUNITY COLLEGE DISTRICT,913fc51322f348088138c1b6063ebeb7
California,Santa Monica,Radio,89.9,http://transition.fcc.gov/fcc-bin/fmq?facid=59086,/station-view/KCRW-FM,KCRW,https://cpb.org/sites/default/files/station_logos/kcrw_fm.gif,59086,SANTA MONICA COMMUNITY COLLEGE DISTRICT,3e564754dfe1425f807dc1b6063ebeb7
California,Mojave,Radio,88.1,http://transition.fcc.gov/fcc-bin/fmq?facid=59092,/station-view/KCRW-FM,KCRW,https://cpb.org/sites/default/files/station_logos/kcrw_fm_3.gif,59092,SANTA MONICA COMMUNITY COLLEGE DISTRICT,619a70db335a497283f3c1b6063ebeb7
California,Bakersfield,Radio,89.1,http://transition.fcc.gov/fcc-bin/fmq?facid=72186,/station-view/KVPR-FM,Valley Public Radio,https://cpb.org/sites/default/files/station_logos/kprx_fm.gif,72186,,
